Crop,pH,Nitrogen,Phosphorus,Potassium,Calcium,Magnesium,Organic Matter,Soil Moisture,EC,Production Rate (kg/m²)
Potatoes,2.06,40.96,21.52,156.29,84.21,35.95,4.99,13.02,0.52,2.04
Potatoes,6.25,43.85,26.57,208.5,84.87,44.97,4.64,19.75,0.74,2.1
Potatoes,5.71,35.79,33.62,163.66,92.71,37.47,4.93,13.69,0.51,2.02
Potatoes,5.01,43.43,34.45,206.81,97.89,48.23,3.95,10.63,1.01,3.6
Potatoes,4.31,51.12,20.38,156.54,91.23,49.57,3.96,15.36,1.21,2.32
Potatoes,5.94,32.31,38.9,212.92,94.36,59.9,4.27,17.63,1.36,2.02
Potatoes,5.5,40.01,24.18,175.09,87.43,45.59,4.5,15.73,1.33,2.74
Potatoes,6.12,31.72,49.79,231.21,92.79,31.87,4.75,18.17,0.52,3.38
Potatoes,6.02,49.94,29.86,190.66,55.03,41.11,-2.42,19.18,1.06,2.87
Potatoes,5.67,30.97,33.8,222.79,86.23,46.91,4.02,10.34,0.89,2.64
Potatoes,5.03,37.34,21.25,205.83,56.32,38.29,4.6,11.84,1.38,3.81
Potatoes,6.42,46.45,25.29,181.99,71.83,41.11,3.98,13.94,0.84,3.51
Potatoes,6.32,43.85,31.02,205.56,68.52,46.32,3.1,12.8,0.54,2.28
Potatoes,6.14,33.78,30.5,154.91,97.24,49.6,3.04,11.05,1.27,2.24
Potatoes,5.98,42.99,32.69,153.47,71.7,33.35,4.06,17.69,0.71,3.81
Potatoes,5.52,35.32,33.56,245.24,81.05,45.25,4.04,19.66,0.92,3.85
Potatoes,6.14,43.24,34.79,194.91,67.62,42.55,3.24,16.31,1.25,3.79
Potatoes,6.2,48.51,35.2,239.28,94.22,45.27,4.45,17.7,0.95,3.46
Potatoes,5.42,43.12,39.41,244.14,82.53,47.3,4.82,11.52,0.81,3.31
Potatoes,5.23,34.09,39.1,214.76,74.14,27.84,3.23,15.45,1.35,3.48
Potatoes,6.2,42.76,37.32,248.47,84.77,34.35,4.41,18.33,0.64,3.49
Potatoes,14.87,38.9,22.79,225.16,50.58,42.35,3.84,14.25,-7.47,2.9
Potatoes,6.0,37.45,22.03,201.13,83.42,33.07,4.2,10.38,0.9,3.02
Potatoes,5.28,33.62,28.06,146.9,102.98,45.17,4.61,17.98,0.66,1.6
Potatoes,5.74,31.46,28.53,165.29,50.48,30.2,3.32,18.06,1.31,3.27
Potatoes,5.42,41.11,32.5,235.31,90.6,38.0,3.38,18.01,0.58,3.83
Potatoes,6.29,39.91,38.38,215.49,62.93,44.01,4.58,13.37,3.5,1.93
Potatoes,5.9,37.44,29.66,174.03,60.42,33.77,3.43,17.46,0.6,3.11
Potatoes,5.48,44.06,34.18,185.95,91.34,31.45,4.14,17.28,0.88,3.5
Potatoes,5.29,30.8,25.49,194.48,53.29,40.84,4.55,10.54,0.57,2.93
Potatoes,5.91,43.95,30.1,169.45,55.87,59.61,3.71,16.47,1.23,2.25
Potatoes,5.63,31.07,21.38,184.95,53.27,35.23,3.49,10.82,0.67,2.3
